City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
280,los andes,-32.8337,-70.5983,19.75,58,0,0.72,CL,1674359411
281,jiangyou,31.7667,104.7167,9.18,48,9,2.08,CN,1674359411
282,ilulissat,69.2167,-51.1,-25.99,58,20,8.75,GL,1674358982
283,khasan,42.4308,130.6434,-7.18,70,83,2.86,RU,1674359412
284,waitati,-45.75,170.5667,16.56,70,94,0.87,NZ,1674359412
285,miyako,39.6367,141.9525,2.09,39,68,3.86,JP,1674359176
286,jaguaquara,-13.5306,-39.9708,18.81,96,98,1.05,BR,1674359126
287,west bay,19.3667,-81.4167,25.6,84,40,2.57,KY,1674359412
288,alyangula,-13.8483,136.4192,31.16,62,49,7.34,AU,1674359412
289,narsaq,60.9167,-46.05,-20.05,66,38,5.27,GL,1674359412
290,upernavik,72.7868,-56.1549,-31.92,89,74,2.75,GL,1674358977
291,deputatskiy,69.3,139.9,-38.15,95,86,2.93,RU,1674359010
292,riyadh,24.6877,46.7219,11.08,52,43,3.83,SA,1674359049
293,idritsa,56.3316,28.8988,-1.57,92,100,2.71,RU,1674359413
294,ola,59.5833,151.2833,-20.48,88,100,3.55,RU,1674359050
295,werda,-25.2667,23.2833,22.38,30,1,3.2,BW,1674359413
296,sitka,57.0531,-135.33,2.94,87,100,4.12,US,1674358964
297,coquimbo,-29.9533,-71.3436,17.85,88,100,1.54,CL,1674358861
298,vallenar,-28.5708,-70.7581,18.71,73,0,1.97,CL,1674359414
299,quzhou,28.9594,118.8686,9.77,95,100,0.6,CN,1674359414
300,weifang,36.71,119.1019,5.84,54,100,2.42,CN,1674359414
301,gohana,29.1333,76.7,14.41,57,0,1.67,IN,1674359414
302,kim,40.208,70.4688,-5.64,61,91,0.78,TJ,1674359414
303,haguenau,48.8156,7.7905,0.51,91,98,2.37,FR,1674359414
304,onda,39.9667,-0.25,5.47,36,0,3.0,ES,1674359414
305,carnarvon,-24.8667,113.6333,26.57,68,46,7.02,AU,1674358956
306,fairbanks,64.8378,-147.7164,-16.33,76,100,4.12,US,1674358998
307,diego de almagro,-26.3667,-70.05,16.41,63,0,0.46,CL,1674359415
308,terney,45.0503,136.6092,-13.33,53,3,4.19,RU,1674359415
309,altamira,-3.2033,-52.2064,21.84,99,100,1.09,BR,1674359415
310,ostrovnoy,68.0531,39.5131,-6.04,86,100,6.05,RU,1674358994
311,bibiani,6.4635,-2.3194,21.27,97,10,0.7,GH,1674359415
312,port lincoln,-34.7333,135.8667,21.09,59,4,5.33,AU,1674358957
313,kupino,54.3663,77.2981,-17.78,96,100,6.26,RU,1674359416
314,belmonte,-15.8631,-38.8828,25.42,84,100,3.65,BR,1674359416
315,san pedro,14.35,121.0167,29.62,72,75,1.54,PH,1674358923
316,callaguip,18.0714,120.4867,30.01,54,75,2.06,PH,1674359416
317,kenora,49.8167,-94.4337,-8.46,92,75,1.54,CA,1674359416
318,mayo,38.8876,-76.5119,3.41,76,0,0.89,US,1674358881
319,san ramon,37.7799,-121.978,10.12,73,0,0.0,US,1674359416
320,tura,25.5198,90.2201,22.53,31,0,0.98,IN,1674359258
321,nanpiao,41.0982,120.7479,-5.92,35,41,4.33,CN,1674359197
322,iwaki,37.05,140.8833,7.23,43,70,0.45,JP,1674359417
323,mount gambier,-37.8333,140.7667,22.11,51,2,5.74,AU,1674359417
324,solnechnyy,50.7214,136.6319,-22.79,89,100,0.56,RU,1674359417
325,olinda,-8.0089,-34.8553,26.85,74,40,3.09,BR,1674359417
326,ungheni,47.2042,27.7958,3.36,100,100,0.51,MD,1674359417
327,leningradskiy,69.3833,178.4167,-39.04,92,17,1.95,RU,1674358982
328,ust-tsilma,65.441,52.1498,-9.03,96,88,2.64,RU,1674359418
329,joshimath,30.5667,79.5667,7.87,27,0,1.5,IN,1674359418
330,pauini,-7.7136,-66.9764,21.42,98,86,1.16,BR,1674359418
331,anahuac,27.2333,-100.15,16.11,57,1,1.77,MX,1674359418
332,zhangye,38.9342,100.4517,-10.25,51,61,1.07,CN,1674359418
333,gisborne,-38.6533,178.0042,21.29,80,89,1.14,NZ,1674358872
334,patnagarh,20.7167,83.15,24.16,40,11,1.02,IN,1674359259
335,sao miguel do araguaia,-13.275,-50.1628,21.88,91,100,1.69,BR,1674359419
336,omsukchan,62.5333,155.8,-38.15,100,98,2.75,RU,1674359023
337,chipata,-13.6333,32.65,16.95,99,100,1.11,ZM,1674359167
338,qui nhon,13.7667,109.2333,24.45,81,98,3.75,VN,1674359208
339,urumqi,43.801,87.6005,-15.47,85,65,1.0,CN,1674359419
340,niamey,13.5137,2.1098,21.16,26,0,1.03,NE,1674359419
341,oksfjord,70.2396,22.3479,5.1,91,100,6.46,NO,1674359419
342,san cristobal,7.7669,-72.225,20.1,74,81,0.52,VE,1674359042
343,geraldton,-28.7667,114.6,26.23,69,75,5.14,AU,1674358791
344,caravelas,-17.7125,-39.2481,23.32,95,100,3.1,BR,1674359420
345,bose,45.4612,8.0137,1.83,40,100,0.5,IT,1674359420
346,chissamba,-12.1667,17.3333,17.27,70,100,1.6,AO,1674359421
347,laiyang,36.9758,120.7136,5.47,65,100,2.9,CN,1674359421
348,lorengau,-2.0226,147.2712,28.17,77,99,0.96,PG,1674358965
349,salinas,36.6777,-121.6555,9.6,65,0,3.6,US,1674359421
350,whitehorse,60.7161,-135.0538,-2.57,80,75,5.66,CA,1674358762
351,mogadishu,2.0371,45.3438,23.93,94,75,5.14,SO,1674359422
352,coos bay,43.3665,-124.2179,6.63,100,100,2.57,US,1674359422
353,sola,-13.8833,167.55,32.37,75,100,2.06,VU,1674359422
354,salta,-24.7859,-65.4117,22.33,90,75,1.03,AR,1674359422
355,powell,40.1578,-83.0752,1.19,78,100,3.09,US,1674359422
356,long,18.0761,99.8326,26.22,31,0,0.58,TH,1674359423
357,tilichiki,60.4667,166.1,-27.91,97,100,7.53,RU,1674359423
358,san patricio,28.017,-97.5169,16.58,88,3,2.8,US,1674358972
359,san vicente,-26.6167,-54.1333,19.57,89,85,1.19,AR,1674359153
360,victoria,22.2855,114.1577,22.2,89,89,0.45,HK,1674358786
361,kelo,9.3086,15.8066,22.41,21,100,1.96,TD,1674359239
362,los llanos de aridane,28.6585,-17.9182,16.18,70,75,5.81,ES,1674358985
363,wuzhou,23.4833,111.3167,18.93,74,100,1.71,CN,1674359423
